0101=2002年1月1日 欧元正式进入流通
0101=1999年1月1日 欧元诞生
0101=1998年1月1日 我国与南非建立外交关系
0101=1995年1月1日 世界贸易组织成立
0101=1994年1月1日 欧洲经济区成立
0101=1988年1月1日 天安门城楼正式对外开放
0101=1985年1月1日 活跃农村经济，中共中央、国务院出台新政策
0101=1984年1月1日 关于１９８４年农村工作的通知
0101=1984年1月1日 中国正式成为国际原子能机构成员国
0101=1984年1月1日 中国工商银行成立
0101=1982年1月1日 全国农村工作会议纪要
0101=1981年1月1日 《中华人民共和国婚姻法》（修正草案）公布施行
0101=1979年1月1日 中国与美国建立外交关系
0101=1979年1月1日 《中华人民共和国全国人大常委会告台湾同胞书》发表
0101=1960年1月1日 刘家峡水利枢纽胜利截流
0101=1959年1月1日 古巴革命胜利
0101=1956年1月1日 《解放军报》创刊
0101=1948年1月1日 中国国民党革命委员会在香港成立
0101=1942年1月1日 中苏美英等国签署《联合国家共同宣言》
0101=1939年1月1日 国民党中常会决定开除汪精卫党籍
0101=1923年1月1日 彭湃担任海丰县农会会长
0101=1917年1月1日 胡适发起文学改良运动
0101=1912年1月1日 中华书局创办
0101=1912年1月1日 孙中山就任中华民国临时大总统
0101=1904年1月1日 京剧表演艺术家程砚秋诞辰
0101=1863年1月1日 奥林匹克运动创始人顾拜旦诞辰
0101=1085年1月1日 《资治通鉴》编成
0102=1997年1月2日 科菲·安南正式就任联合国秘书长
0102=1992年1月2日 我国与乌兹别克斯坦建交
0102=1992年1月2日 加利就任第六届联合国秘书长
0102=1980年1月2日 我国与厄瓜多尔建交
0102=1977年1月2日 洛阳黄河公路大桥建成通车
0102=1966年1月2日 《人民日报》介绍大庆人建设经验
0102=1963年1月2日 第一次断臂再植成功
0102=1952年1月2日 罗盛教抢救朝鲜儿童异国献身
0102=1923年1月2日 《中国国民党党纲》公布
0102=1875年1月2日 爱国民主人士沈钧儒诞辰
0103=1992年1月3日 我国与哈萨克斯坦建交
0103=1967年1月3日 “一月风暴”引发夺权之风席卷全国
0103=1946年1月3日 国民政府承认外蒙独立
0103=1927年1月3日 汉口爆发“一·三”事件
0103=1923年1月3日 《好兵帅克》作者哈谢克逝世
0103=1912年1月3日 孙中山领导的国民临时政府组成
0103=1911年1月3日 伦敦警察痛恨俄无政府主义者
0103=1868年1月3日 日本明治维新
0103=1843年1月3日 魏源编著《海国图志》刻本出版
0103=1839年1月3日 钦差大臣林则徐到广东查禁鸦片
0104=1999年1月4日 重庆綦江步行虹桥发生整体垮塌事故40人死亡
0104=1992年1月4日 我国与塔吉克斯坦建交
0104=1992年1月4日 我国与乌克兰建交
0104=1992年1月4日 中亚五国协商建立共同市场
0104=1981年1月4日 葛洲坝大江截流工程胜利合龙
0104=1979年1月4日 中央纪委成立
0104=1969年1月4日 消除种族歧视公约生效
0104=1965年1月4日 第三届全国人大第一次会议闭幕周恩来首次提出四个现代化
0104=1960年1月4日 法国作家加缪在车祸中丧生
0104=1960年1月4日 欧洲自由贸易联盟成立
0104=1948年1月4日 缅甸独立日
0104=1935年1月4日 红军突破乌江天险
0104=1921年1月4日 沈雁冰、郑振铎等发起成立文学研究会
0104=1917年1月4日 蔡元培出任北京大学校长
0104=1896年1月4日 中国共产党创始人之一陈潭秋诞辰
0104=1785年1月4日 雅各布·格林诞辰
0105=1999年1月5日 国家组建缉私警察队伍
0105=1992年1月5日 我国与吉尔吉斯斯坦建交
0105=1975年1月5日 邓小平主持中央工作，开始整顿
0105=1957年1月5日 艾森豪威尔提出企图控制中东的侵略扩张计划
0105=1948年1月5日 中国民主同盟一届三中全会决定恢复民盟组织
0105=1942年1月5日 联合国推举蒋介石任中国战区最高统帅
0105=1938年1月5日 西班牙国王卡洛斯诞辰
0105=1930年1月5日 毛泽东写作《星星之火，可以燎原》
0105=1930年1月5日 斯大林开始实行农庄集体化，成立农业合作社
0105=1919年1月5日 法西斯党——德国工人党成立
0105=1914年1月5日 福特付给工人日薪5美元产量猛增
0105=1900年1月5日 京剧表演艺术家荀慧生诞辰
0105=1896年1月5日 X射线公诸于世
0106=1997年1月6日 我国在世界上首次成功构建水稻基因组物理全图
0106=1992年1月6日 我国与土库曼斯坦建交
0106=1987年1月6日 《人民日报》发表社论《旗帜鲜明地反对资产阶级自由化》
0106=1986年1月6日 美国《时代》周刊选邓小平作封面人物
0106=1975年1月6日 我国与博茨瓦纳建交
0106=1972年1月6日 中央军委副主席、共和国元帅陈毅逝世
0106=1959年1月6日 国际海事组织成立
0106=1941年1月6日 国民党制造震惊中外的“皖南事变”
0106=1938年1月6日 新四军军部成立
0106=1884年1月6日 现代遗传学奠基人孟德尔逝世
0106=1850年1月6日 德国社会民主党首领伯恩施坦诞辰
0106=1412年1月6日 法国女英雄贞德出生
0107=2000年1月7日 新华社香港分社、新华社澳门分社分别更名为中央人民政府驻港联络办、中央人民政府驻澳联络办
0107=1992年1月7日 韩国宣布暂停美韩军事演习
0107=1991年1月7日 林莉获我国第一个世界游泳冠军
0107=1989年1月7日 日本裕仁天皇病逝
0107=1988年1月7日 社会活动家廖梦醒逝世
0107=1979年1月7日 越南军队占领柬埔寨
0107=1972年1月7日 中国第一枚实用氢弹试验成功
0107=1946年1月7日 “三人军事小组”建立
0107=1933年1月7日 中共临时中央由上海迁至瑞金
0107=1932年1月7日 马其诺防线
0107=1931年1月7日 中共六届四中全会召开
0107=1919年1月7日 阿根廷“血腥的一周”开始，6千人丧生
0107=1912年1月7日 南非非洲人国民大会成立
0108=2001年1月8日 新世纪诞生的第一条铁路新线——西康铁路通车运营
0108=1996年1月8日 法国总统密特朗逝世
0108=1979年1月8日 我国与吉布提建交
0108=1976年1月8日 周恩来逝世
0108=1975年1月8日 中共十届二中全会开幕，补选邓小平政治局常委
0108=1959年1月8日 戴高乐就任法兰西第五共和国总统
0108=1954年1月8日 中共中央号召发展农业生产合作社
0108=1942年1月8日 著名物理学家史蒂芬·霍金诞辰
0108=1938年1月8日 白求恩率医疗队援助中国
0108=1931年1月8日 特级英雄黄继光诞辰
0108=1905年1月8日 世界上最大的钻石在南非发现
0108=1854年1月8日 《天演论》译者严复诞辰
0108=1642年1月8日 意大利天文学家伽利略逝世
0109=1989年1月9日 英国米德兰航空公司的波音737飞机失事
0109=1983年1月9日 曾侯乙墓编钟复制成功
0109=1983年1月9日 孔塔多拉集团形成
0109=1972年1月9日 建筑学家梁思成逝世
0109=1968年1月9日 阿拉伯石油输出国组织成立
0109=1964年1月9日 巴拿马的“全国哀悼日”
0109=1946年1月9日 中国代表在远东国际军事法庭参加审判战犯
0109=1283年1月9日 文天祥殉难
